Time,sample,Type,Sub,Chan,Num,Aux
0:00.8,295,(,0,0,0,
0:00.8,310,p,0,0,0,
0:00.9,330,),0,0,0,
0:00.9,350,(,0,0,1,
0:01.0,369,N,0,0,0,
0:01.0,385,),0,0,1,
0:01.2,439,(,0,0,2,
0:01.3,468,t,0,0,4,
0:01.4,516,t,0,0,4,
0:01.4,536,),0,0,2,
0:01.6,587,(,0,0,0,
0:01.6,604,p,0,0,0,
0:01.7,628,),0,0,0,
0:01.7,643,(,0,0,1,
0:01.8,661,N,0,0,0,
0:01.8,670,),0,0,1,
0:02.1,758,(,0,0,2,
0:02.1,782,t,0,0,0,
0:02.2,818,),0,0,2,
0:02.4,865,(,0,0,0,
0:02.4,884,p,0,0,0,
0:02.5,907,),0,0,0,
0:02.5,924,(,0,0,1,
0:02.6,945,N,0,0,0,
0:02.6,959,),0,0,1,
0:02.8,1042,(,0,0,2,
0:02.9,1063,t,0,0,0,
0:03.0,1111,),0,0,2,
0:03.1,1146,(,0,0,0,
0:03.2,1167,p,0,0,0,
0:03.3,1191,),0,0,0,
0:03.3,1213,(,0,0,1,
0:03.4,1230,N,0,0,0,
0:03.4,1238,),0,0,1,
0:03.6,1306,(,0,0,2,
0:03.6,1321,t,0,0,4,
0:03.7,1365,t,0,0,4,
0:03.8,1382,),0,0,2,
0:03.9,1432,(,0,0,0,
0:04.0,1455,p,0,0,0,
0:04.0,1475,),0,0,0,
0:04.1,1495,(,0,0,1,
0:04.2,1514,N,0,0,0,
0:04.2,1528,),0,0,1,
0:04.4,1595,(,0,0,2,
0:04.4,1611,t,0,0,4,
0:04.5,1649,t,0,0,4,
0:04.6,1676,),0,0,2,
0:04.8,1728,(,0,0,0,
0:04.8,1746,p,0,0,0,
0:04.9,1768,),0,0,0,
0:04.9,1789,(,0,0,1,
0:05.0,1808,N,0,0,0,
0:05.0,1817,),0,0,1,
0:05.2,1888,(,0,0,2,
0:05.2,1901,t,0,0,1,
0:05.3,1931,),0,0,2,
0:05.4,1965,(,0,0,0,
0:05.5,1982,p,0,0,0,
0:05.5,2001,),0,0,0,
0:05.6,2024,(,0,0,1,
0:05.6,2043,N,0,0,0,
0:05.7,2053,),0,0,1,
0:05.9,2129,(,0,0,2,
0:05.9,2140,t,0,0,4,
0:06.0,2184,t,0,0,4,
0:06.1,2207,),0,0,2,
