Col1,wPre,Type
0.009,0.76666667,N
0.022,0.77500000,N
0.035,0.76388889,N
0.048,0.75555556,N
0.060,0.74444444,N
0.073,0.78055556,N
0.086,0.75000000,N
0.098,0.71666667,N
0.110,0.73055556,N
0.122,0.72777778,N
0.135,0.74166667,N
0.147,0.74722222,N
0.159,0.73888889,N
0.172,0.71388889,N
0.184,0.75277778,N
0.196,0.76666667,N
0.209,0.73611111,N
0.221,0.71388889,N
0.233,0.73333333,N
0.245,0.74444444,N
0.258,0.76111111,N
0.270,0.73611111,N
0.283,0.73333333,N
0.295,0.75833333,N
0.308,0.76388889,N
0.320,0.73611111,N
0.333,0.71944444,N
0.345,0.73333333,N
0.357,0.74722222,N
0.369,0.75833333,N
0.382,0.66944444,V
0.393,0.79444444,N
0.406,0.75000000,N
0.419,0.76388889,N
0.432,0.73611111,N
0.444,0.73611111,N
0.456,0.74166667,N
0.468,0.75000000,N
0.481,0.77500000,N
0.494,0.76111111,N
0.507,0.74444444,N
0.519,0.74444444,N
0.531,0.78611111,N
0.544,0.76388889,N
0.557,0.75833333,N
0.570,0.76388889,N
0.583,0.74722222,N
0.595,0.77222222,N
0.608,0.75555556,N
0.620,0.73888889,N
0.633,0.73611111,N
0.645,0.78055556,N
0.658,0.74166667,N
0.670,0.72500000,N
0.682,0.74166667,N
0.695,0.74166667,N
0.707,0.75555556,N
0.720,0.76388889,N
0.733,0.76111111,N
0.745,0.76111111,N
0.758,0.81388889,N
0.771,0.77222222,N
0.784,0.74722222,N
0.797,0.77222222,N
0.810,0.76666667,N
0.822,0.77777778,N
0.835,0.75277778,N
0.848,0.74166667,N
0.860,0.74166667,N
0.873,0.76111111,N
0.885,0.73611111,N
0.898,0.70277778,N
0.909,0.73055556,N
0.922,0.73333333,N
0.934,0.74722222,N
0.946,0.74722222,N
0.959,0.73611111,N
0.971,0.72500000,N
0.983,0.76388889,N
0.996,0.74722222,N
1.008,0.71944444,N
1.020,0.59722222,V
1.030,0.88888889,N
1.045,0.76944444,N
1.058,0.55555556,A
1.067,0.81111111,N
1.081,0.80277778,N
1.094,0.81666667,N
1.108,0.78611111,N
1.121,0.76111111,N
1.133,0.76944444,N
1.146,0.76111111,N
1.159,0.78333333,N
1.172,0.74722222,N
1.184,0.73888889,N
1.197,0.76111111,N
1.209,0.50833333,V
1.218,1.01111111,N
1.235,0.73333333,N
1.247,0.75000000,N
1.259,0.71666667,N
1.271,0.75555556,N
1.284,0.74722222,N
1.296,0.74166667,N
1.309,0.75277778,N
1.321,0.78888889,N
1.334,0.75277778,N
1.347,0.73888889,N
1.359,0.75833333,N
1.372,0.74722222,N
1.384,0.76944444,N
1.397,0.76944444,N
1.410,0.75277778,N
1.423,0.74166667,N
1.435,0.76111111,N
1.448,0.73611111,N
1.460,0.69166667,N
1.471,0.73611111,N
1.484,0.73333333,N
1.496,0.73888889,N
1.508,0.75000000,N
1.521,0.73333333,N
1.533,0.71944444,N
1.545,0.75833333,N
1.558,0.73888889,N
1.570,0.72222222,N
1.582,0.72500000,N
1.594,0.74166667,N
1.606,0.75555556,N
1.619,0.74166667,N
1.631,0.72777778,N
1.643,0.71944444,N
1.655,0.72500000,N
1.668,0.75833333,N
1.680,0.73888889,N
1.692,0.72500000,N
1.705,0.75555556,N
1.717,0.73611111,N
1.729,0.75555556,N
1.742,0.73611111,N
1.754,0.71666667,N
1.766,0.72777778,N
1.778,0.75000000,N
1.791,0.72500000,N
1.803,0.72500000,N
1.815,0.71388889,N
1.827,0.73333333,N
1.839,0.73888889,N
1.851,0.74722222,N
1.864,0.71944444,N
1.876,0.71944444,N
1.888,0.76666667,N
1.901,0.76666667,N
1.913,0.75277778,N
1.926,0.73611111,N
1.938,0.75555556,N
1.951,0.75555556,N
1.963,0.76111111,N
1.976,0.43333333,V
1.983,0.42500000,V
1.990,1.16944444,e
2.019,1.18055556,N
2.039,0.77777778,N
2.052,0.72500000,V
2.064,0.81388889,N
2.078,0.78888889,N
2.091,0.72500000,V
2.103,0.74722222,N
2.115,0.75555556,N
2.128,0.69722222,V
2.140,0.78611111,N
2.153,0.73333333,N
2.165,0.64444444,V
2.176,0.83333333,N
2.190,0.76666667,N
2.202,0.52500000,V
2.211,0.91944444,N
2.226,0.75833333,N
2.239,0.54722222,V
2.248,0.95000000,N
2.264,0.73333333,N
2.276,0.54722222,V
2.301,0.69166667,V
2.312,0.61666667,V
2.322,0.90277778,N
2.337,0.73055556,N
2.350,0.77500000,N
2.363,0.72500000,F
2.375,0.70277778,N
2.386,0.72222222,N
2.398,0.72222222,N
2.410,0.73888889,F
2.423,0.73888889,N
2.435,0.70000000,N
2.447,0.70555556,N
2.459,0.74722222,F
2.471,0.74166667,N
2.483,0.70000000,N
2.495,0.70555556,N
2.507,0.69444444,F
2.518,0.77777778,N
2.531,0.75277778,N
2.544,0.73333333,N
2.556,0.68055556,F
2.567,0.82500000,N
2.581,0.76388889,N
2.594,0.73888889,N
2.606,0.71388889,F
2.631,0.74166667,N
2.643,0.74722222,N
2.655,0.69444444,N
2.667,0.70000000,N
2.679,0.73333333,N
2.691,0.73611111,N
2.715,0.70000000,N
2.726,0.47222222,V
2.734,0.93333333,N
2.750,0.73055556,N
2.762,0.70833333,N
2.774,0.70555556,N
2.786,0.73055556,N
2.798,0.75555556,N
2.810,0.71944444,N
2.822,0.70555556,N
2.834,0.72222222,N
2.846,0.71111111,N
2.858,0.72777778,N
2.870,0.53611111,A
2.879,0.78333333,N
2.892,0.76666667,N
2.905,0.66388889,A
2.916,0.85000000,N
2.930,0.73333333,N
2.942,0.72222222,N
2.954,0.76666667,N
2.967,0.75277778,N
2.980,0.76944444,N
2.993,0.73888889,N
3.005,0.71944444,N
3.017,0.74166667,N
3.029,0.75277778,N
3.042,0.71388889,N
3.054,0.70000000,N
3.065,0.73333333,N
3.078,0.73333333,N
3.090,0.61388889,A
3.100,0.78333333,N
3.113,0.76666667,N
3.126,0.61666667,V
3.136,0.89444444,N
3.151,0.74722222,N
3.163,0.73611111,N
3.176,0.75555556,N
3.188,0.74444444,N
3.201,0.75555556,N
3.213,0.74166667,N
3.226,0.74444444,N
3.238,0.72500000,N
3.250,0.76111111,N
3.263,0.74722222,N
3.275,0.73611111,N
3.288,0.74722222,N
3.300,0.72500000,N
3.312,0.75000000,N
3.325,0.73888889,N
3.337,0.73055556,N
3.349,0.71944444,N
3.361,0.76666667,N
3.374,0.74722222,N
3.386,0.74444444,N
